2026.01.20 12:12:56 WARN  no build target for: C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\dto\MessageResponse.java
2026.01.20 12:12:56 WARN  Running javac-semanticdb failed for file:///C:/Users/EbrimaMbye/Desktop/A_Teaching/binta/FINAL%20PROJECT%20-%20PROGRAMMING%20II/Hospital_management_System/hospital_mangement_system/src/main/java/com/group8/hospital_mangement_system/service/UserService.java. Output:

2026.01.20 12:12:56 WARN  Running javac-semanticdb failed for file:///C:/Users/EbrimaMbye/Desktop/A_Teaching/binta/FINAL%20PROJECT%20-%20PROGRAMMING%20II/Hospital_management_System/hospital_mangement_system/src/main/java/com/group8/hospital_mangement_system/dto/MessageResponse.java. Output:

2026.01.20 12:13:07 WARN  no build target for: C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\dto\RegisterRequest.java
2026.01.20 12:13:07 WARN  Running javac-semanticdb failed for file:///C:/Users/EbrimaMbye/Desktop/A_Teaching/binta/FINAL%20PROJECT%20-%20PROGRAMMING%20II/Hospital_management_System/hospital_mangement_system/src/main/java/com/group8/hospital_mangement_system/dto/RegisterRequest.java. Output:

2026.01.20 12:14:51 WARN  no build target for: C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\reposotory\UserRepository.java
2026.01.20 12:14:52 WARN  no build target for: C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\security\JwtAuthFilter.java
2026.01.20 12:14:52 WARN  Running javac-semanticdb failed for file:///C:/Users/EbrimaMbye/Desktop/A_Teaching/binta/FINAL%20PROJECT%20-%20PROGRAMMING%20II/Hospital_management_System/hospital_mangement_system/src/main/java/com/group8/hospital_mangement_system/reposotory/UserRepository.java. Output:

2026.01.20 12:14:51 WARN  no build target for: C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\security\jwtService.java
2026.01.20 12:14:52 WARN  Running javac-semanticdb failed for file:///C:/Users/EbrimaMbye/Desktop/A_Teaching/binta/FINAL%20PROJECT%20-%20PROGRAMMING%20II/Hospital_management_System/hospital_mangement_system/src/main/java/com/group8/hospital_mangement_system/security/JwtAuthFilter.java. Output:

2026.01.20 12:14:52 WARN  Running javac-semanticdb failed for file:///C:/Users/EbrimaMbye/Desktop/A_Teaching/binta/FINAL%20PROJECT%20-%20PROGRAMMING%20II/Hospital_management_System/hospital_mangement_system/src/main/java/com/group8/hospital_mangement_system/security/jwtService.java. Output:

2026.01.20 12:15:06 INFO  no build target found for C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\hospital_management_system_old\hospital_management_system\src\main\java\com\mamadou\hospital_management_system\model\Department.java. Using fallback presentation compiler.
2026.01.20 12:15:06 INFO  no build target found for C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\hospital_management_system_old\hospital_management_system\src\main\java\com\mamadou\hospital_management_system\repository\DepartmentRepository.java. Using fallback presentation compiler.
2026.01.20 12:15:06 INFO  no build target found for C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\hospital_management_system_old\hospital_management_system\src\main\java\com\mamadou\hospital_management_system\service\DepartmentService.java. Using fallback presentation compiler.
2026.01.20 12:15:06 INFO  no build target found for C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\hospital_management_system_old\hospital_management_system\src\main\java\com\mamadou\hospital_management_system\controller\DepartmentController.java. Using fallback presentation compiler.
2026.01.20 12:15:14 WARN  no build target for: C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\HospitalMangementSystemApplication.java
2026.01.20 12:15:14 WARN  Running javac-semanticdb failed for file:///C:/Users/EbrimaMbye/Desktop/A_Teaching/binta/FINAL%20PROJECT%20-%20PROGRAMMING%20II/Hospital_management_System/hospital_mangement_system/src/main/java/com/group8/hospital_mangement_system/HospitalMangementSystemApplication.java. Output:

2026.01.20 12:15:32 INFO  no build target found for C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\hospital_management_system_old\hospital_management_system\src\main\java\com\mamadou\hospital_management_system\dto\DepartmentRequest.java. Using fallback presentation compiler.
2026.01.20 12:15:32 INFO  no build target found for C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\hospital_management_system_old\hospital_management_system\src\main\java\com\mamadou\hospital_management_system\dto\DepartmentResponse.java. Using fallback presentation compiler.
2026.01.20 12:15:32 INFO  no build target found for C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\hospital_management_system_old\hospital_management_system\src\main\java\com\mamadou\hospital_management_system\dto\DepartmentDoctorResponse.java. Using fallback presentation compiler.
Jan 20, 2026 12:15:43 PM org.eclipse.lsp4j.jsonrpc.services.GenericEndpoint notify
INFO: Unsupported notification method: $/setTrace
Jan 20, 2026 12:15:43 PM org.eclipse.lsp4j.jsonrpc.services.GenericEndpoint notify
INFO: Unsupported notification method: $/setTrace
2026.01.20 12:15:45 INFO  no build target found for C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\hospital_management_system_old\hospital_management_system\src\main\java\com\mamadou\hospital_management_system\model\Doctor.java. Using fallback presentation compiler.
2026.01.20 12:15:45 INFO  no build target found for C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\hospital_management_system_old\hospital_management_system\src\main\java\com\mamadou\hospital_management_system\repository\DoctorRepository.java. Using fallback presentation compiler.
2026.01.20 12:15:45 INFO  no build target found for C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\hospital_management_system_old\hospital_management_system\src\main\java\com\mamadou\hospital_management_system\model\User.java. Using fallback presentation compiler.
2026.01.20 12:15:45 INFO  no build target found for C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\model\User.java. Using fallback presentation compiler.
2026.01.20 12:15:45 INFO  no build target found for C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\security\SecurityConfig.java. Using fallback presentation compiler.
2026.01.20 12:15:56 INFO  no build target found for C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\controller\UserController.java. Using fallback presentation compiler.
2026.01.20 12:15:56 INFO  no build target found for C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\service\UserService.java. Using fallback presentation compiler.
2026.01.20 12:15:56 INFO  no build target found for C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\dto\MessageResponse.java. Using fallback presentation compiler.
2026.01.20 12:16:07 INFO  no build target found for C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\dto\RegisterRequest.java. Using fallback presentation compiler.
2026.01.20 12:16:30 WARN  no build target for: C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\test\java\com\group8\hospital_mangement_system\HospitalMangementSystemApplicationTests.java
2026.01.20 12:16:30 WARN  Running javac-semanticdb failed for file:///C:/Users/EbrimaMbye/Desktop/A_Teaching/binta/FINAL%20PROJECT%20-%20PROGRAMMING%20II/Hospital_management_System/hospital_mangement_system/src/test/java/com/group8/hospital_mangement_system/HospitalMangementSystemApplicationTests.java. Output:

2026.01.20 12:16:55 INFO  no build target found for C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\test\java\com\group8\hospital_mangement_system\HospitalMangementSystemApplicationTests.java. Using fallback presentation compiler.
2026.01.20 12:17:32 WARN  no build target for: C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\dto\DepartmentRequest.java
2026.01.20 12:17:33 WARN  Running javac-semanticdb failed for file:///C:/Users/EbrimaMbye/Desktop/A_Teaching/binta/FINAL%20PROJECT%20-%20PROGRAMMING%20II/Hospital_management_System/hospital_mangement_system/src/main/java/com/group8/hospital_mangement_system/dto/DepartmentRequest.java. Output:

2026.01.20 12:17:33 INFO  no build target found for C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\dto\DepartmentRequest.java. Using fallback presentation compiler.
2026.01.20 12:17:33 WARN  no build target for: C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\dto\DepartmentResponse.java
2026.01.20 12:17:32 WARN  Running javac-semanticdb failed for file:///C:/Users/EbrimaMbye/Desktop/A_Teaching/binta/FINAL%20PROJECT%20-%20PROGRAMMING%20II/Hospital_management_System/hospital_mangement_system/src/main/java/com/group8/hospital_mangement_system/dto/DepartmentResponse.java. Output:

2026.01.20 12:17:33 INFO  no build target found for C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\dto\DepartmentResponse.java. Using fallback presentation compiler.
2026.01.20 12:17:33 INFO  no build target found for C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\dto\DepartmentRequest.java. Using fallback presentation compiler.
2026.01.20 12:17:33 WARN  no build target for: C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\dto\DepartmentDoctorResponse.java
2026.01.20 12:17:33 WARN  Running javac-semanticdb failed for file:///C:/Users/EbrimaMbye/Desktop/A_Teaching/binta/FINAL%20PROJECT%20-%20PROGRAMMING%20II/Hospital_management_System/hospital_mangement_system/src/main/java/com/group8/hospital_mangement_system/dto/DepartmentDoctorResponse.java. Output:

2026.01.20 12:17:33 INFO  no build target found for C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\dto\DepartmentDoctorResponse.java. Using fallback presentation compiler.
2026.01.20 12:17:33 INFO  no build target found for C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\dto\DepartmentRequest.java. Using fallback presentation compiler.
2026.01.20 12:17:33 INFO  no build target found for C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\dto\DepartmentResponse.java. Using fallback presentation compiler.
2026.01.20 12:17:33 WARN  no build target for: C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\dto\DepartmentRequest.java
2026.01.20 12:17:33 INFO  no build target found for C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\dto\DepartmentDoctorResponse.java. Using fallback presentation compiler.
2026.01.20 12:17:33 WARN  Running javac-semanticdb failed for file:///C:/Users/EbrimaMbye/Desktop/A_Teaching/binta/FINAL%20PROJECT%20-%20PROGRAMMING%20II/Hospital_management_System/hospital_mangement_system/src/main/java/com/group8/hospital_mangement_system/dto/DepartmentRequest.java. Output:

2026.01.20 12:17:33 WARN  no build target for: C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\dto\DepartmentResponse.java
2026.01.20 12:17:33 WARN  no build target for: C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\model\Department.java
2026.01.20 12:17:33 INFO  no build target found for C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\model\Department.java. Using fallback presentation compiler.
2026.01.20 12:17:32 WARN  no build target for: C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\dto\DepartmentDoctorResponse.java
2026.01.20 12:17:33 INFO  no build target found for C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\model\Department.java. Using fallback presentation compiler.
2026.01.20 12:17:33 WARN  no build target for: C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\model\Doctor.java
2026.01.20 12:17:33 WARN  Running javac-semanticdb failed for file:///C:/Users/EbrimaMbye/Desktop/A_Teaching/binta/FINAL%20PROJECT%20-%20PROGRAMMING%20II/Hospital_management_System/hospital_mangement_system/src/main/java/com/group8/hospital_mangement_system/dto/DepartmentResponse.java. Output:

2026.01.20 12:17:33 WARN  Running javac-semanticdb failed for file:///C:/Users/EbrimaMbye/Desktop/A_Teaching/binta/FINAL%20PROJECT%20-%20PROGRAMMING%20II/Hospital_management_System/hospital_mangement_system/src/main/java/com/group8/hospital_mangement_system/model/Department.java. Output:

2026.01.20 12:17:33 WARN  Running javac-semanticdb failed for file:///C:/Users/EbrimaMbye/Desktop/A_Teaching/binta/FINAL%20PROJECT%20-%20PROGRAMMING%20II/Hospital_management_System/hospital_mangement_system/src/main/java/com/group8/hospital_mangement_system/dto/DepartmentDoctorResponse.java. Output:

2026.01.20 12:17:33 WARN  Running javac-semanticdb failed for file:///C:/Users/EbrimaMbye/Desktop/A_Teaching/binta/FINAL%20PROJECT%20-%20PROGRAMMING%20II/Hospital_management_System/hospital_mangement_system/src/main/java/com/group8/hospital_mangement_system/model/Doctor.java. Output:

2026.01.20 12:17:33 INFO  no build target found for C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\model\Doctor.java. Using fallback presentation compiler.
2026.01.20 12:17:33 INFO  no build target found for C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\model\Department.java. Using fallback presentation compiler.
2026.01.20 12:17:33 WARN  no build target for: C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\reposotory\DepartmentRepository.java
2026.01.20 12:17:33 WARN  Running javac-semanticdb failed for file:///C:/Users/EbrimaMbye/Desktop/A_Teaching/binta/FINAL%20PROJECT%20-%20PROGRAMMING%20II/Hospital_management_System/hospital_mangement_system/src/main/java/com/group8/hospital_mangement_system/reposotory/DepartmentRepository.java. Output:

2026.01.20 12:17:33 INFO  no build target found for C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\reposotory\DepartmentRepository.java. Using fallback presentation compiler.
2026.01.20 12:17:33 INFO  no build target found for C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\model\Doctor.java. Using fallback presentation compiler.
2026.01.20 12:17:33 INFO  no build target found for C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\model\Department.java. Using fallback presentation compiler.
2026.01.20 12:17:34 INFO  no build target found for C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\reposotory\DepartmentRepository.java. Using fallback presentation compiler.
